,Accessory,Rating,Type,ckpt
0,,20/1,QOB-VHCAFI,"1,"
1,ROB,20/1,QOB-VHCAFI,"3,"
2,,20/1,QOB-VHCAF,"5,"
3,DOB,20/1,QOB-VHCAF,"7,"
4,,20/1,QOB-VHCAF,"9,"
5,ROB,20/1,QOB-VHCAF,"11,"
6,,20/1,QOB-VHCAF,"13,"
7,DOB,20/1,QOB-VHCAF,"15,"
8,,20/1,OB-VHCAF,"17,"
9,ROB,20/1,OB-VHCAF,"19,"
10,,20/1,OB-VHCAF,"21,"
11,ROB,20/1,OB-VHCAF,"23,"
12,,20/1,OB-VHCAF,"25,"
13,DOB,20/1,OB-VHCAF,"27,"
14,,20/1,OB-VHCAF,"29,"
15,ROB,20/1,OB-VHCAF,"31,"
16,,20/1,OB-VHCAF,"33,"
17,ROB,20/1,OB-VHCAF,"35,"
18,,20/1,OB-VHCAF,"37,"
19,ROB,20/1,OB-VHCAF,"39,"
20,,20/1,OB-VHCAF,"41,"
21,,20/1,QOB-VHCAFI,"1,"
22,ROB,20/1,QOB-VHCAFI,"3,"
23,,20/1,QOB-VHCAF,"5,"
24,DOB,20/1,QOB-VHCAF,"7,"
25,,20/1,QOB-VHCAF,"9,"
26,ROB,20/1,QOB-VHCAF,"11,"
27,,20/1,QOB-VHCAF,"13,"
28,DOB,20/1,QOB-VHCAF,"15,"
29,,20/1,OB-VHCAF,"17,"
30,ROB,20/1,OB-VHCAF,"19,"
31,,20/1,OB-VHCAF,"21,"
32,ROB,20/1,OB-VHCAF,"23,"
33,,20/1,OB-VHCAF,"25,"
34,DOB,20/1,OB-VHCAF,"27,"
35,,20/1,OB-VHCAF,"29,"
36,ROB,20/1,OB-VHCAF,"31,"
37,,20/1,OB-VHCAF,"33,"
38,ROB,20/1,OB-VHCAF,"35,"
39,,20/1,OB-VHCAF,"37,"
40,ROB,20/1,OB-VHCAF,"39,"
41,,20/1,OB-VHCAF,"41,"
